date,Anhui,Beijing,Chongqing,Fujian,Gansu,Guangdong,Guangxi,Guizhou,Hainan,Hebei,Heilongjiang,Henan,Hubei,Hunan,Inner Mongolia,Jiangsu,Jiangxi,Jilin,Liaoning,Ningxia,Qinghai,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjin,Tibet,Xinjiang,Yunnan,Zhejiang
2020-02-01,0.00016662878638922752,0.0002968339688878423,0.00014732465787531325,0.0,0.0,0.00014391777278611545,9.826797775802592e-05,0.0001350762674375019,0.00020695150091576037,0.0,0.0001222372845720656,6.242735017123821e-05,0.004267582503419781,0.00021962467241607456,5.783950924333197e-05,6.479803532356899e-05,0.0004093741215513642,6.633666387610434e-05,3.950172523784976e-05,0.0,0.0,0.0,3.923124030743169e-05,0.00030599876927295,5.9459713368505734e-05,7.37497028501556e-05,0.0,0.0,0.0,0.00011184981701369938,0.0003736844306161433
2020-02-02,0.00023328030094491852,0.0002968339688878423,0.00034375753504239763,0.0,0.00036380966933339154,0.00015419761369940942,9.826797775802592e-05,0.0001350762674375019,0.0008278060036630415,8.330956696520188e-05,0.0001222372845720656,0.00020809116723746073,0.007493671657790687,0.0004392493448321491,5.783950924333197e-05,7.559770787749715e-05,0.0005458321620684856,6.633666387610434e-05,3.950172523784976e-05,0.0,0.0,0.0,7.846248061486339e-05,0.00030599876927295,0.0001783791401055172,0.0002704155771172372,5.316422855514513e-05,0.0,0.0,0.00016777472552054906,0.0005694238942722185
2020-02-03,0.00046656060188983705,0.0003957786251837897,0.00044197397362593976,2.7929809038309643e-05,0.00036380966933339154,0.0002158766591791732,0.0003439379221530907,0.0001350762674375019,0.0008278060036630415,8.330956696520188e-05,0.0001222372845720656,0.00033294586757993716,0.009805278847143068,0.000603967849144205,5.783950924333197e-05,8.639738043142533e-05,0.0008187482431027284,6.633666387610434e-05,3.950172523784976e-05,0.0002698924208810368,0.0,0.0,9.153956071734062e-05,0.00030599876927295,0.00011891942673701147,0.0003441652799673928,5.316422855514513e-05,0.0,0.0,0.00027962454253424845,0.0007651633579282935
2020-02-04,0.0006665151455569101,0.0007585756982689302,0.00044197397362593976,8.378942711492892e-05,0.00048507955911118874,0.00030839522739881884,0.0004913398887901296,0.0001350762674375019,0.001034757504578802,0.00011107942262026917,0.0002444745691441312,0.000561846151541144,0.013259988492768606,0.0008510456056122889,5.783950924333197e-05,0.00012959607064713798,0.0009097202701141427,6.633666387610434e-05,7.900345047569952e-05,0.0002698924208810368,0.0,8.183868612899741e-05,0.00014384788112724954,0.00036719852312754,0.00023783885347402294,0.0003441652799673928,0.00010632845711029026,0.0,0.0,0.00027962454253424845,0.0011032587951524233
2020-02-05,0.0007664924173904466,0.0007915572503675794,0.0007366232893765663,0.0003072278994214061,0.0007276193386667831,0.0005037122047514041,0.0006387418554271685,0.0006078432034687585,0.001034757504578802,0.00016661913393040375,0.0004278304960022296,0.0009780284860160654,0.01607964121824239,0.0014824665388085032,0.0001735185277299959,0.0002483924687403478,0.0012281223646540926,0.00013267332775220868,0.00015800690095139905,0.0002698924208810368,0.001047036363572907,0.0002455160583869922,0.00019615620153715847,0.000458998153909425,0.0002972985668425287,0.0005899976228012448,0.00010632845711029026,0.0,0.0,0.00027962454253424845,0.0013879707422885324
2020-02-06,0.0011330757474467472,0.0010224281150581233,0.001178597263002506,0.000391017326536335,0.0007276193386667831,0.0007093090230172834,0.0006878758443061814,0.0004052288023125057,0.001655612007326083,0.0003610081235158748,0.0004889491382882624,0.0011653105365297802,0.020753660150559294,0.002223699808212755,0.00023135803697332789,0.00036718886683355763,0.001682982499711164,0.00026534665550441736,0.00019750862618924883,0.0002698924208810368,0.001047036363572907,0.00036827408758048836,0.00035308116276688525,0.0007649969231823749,0.0007135165604220688,0.0007620802627849412,0.00010632845711029026,0.0,0.0,0.0003914743595479478,0.0016726826894246415
2020-02-07,0.0015663105920587386,0.0010883912192554217,0.0015223547980449037,0.0005585961807661929,0.0010914290080001746,0.0009046260003698686,0.0008352778109432204,0.0004052288023125057,0.002069515009157604,0.0006109368244114805,0.0007334237074323936,0.0017895840382421624,0.02832353863876819,0.003074745413825044,0.00028919754621665984,0.00046438591981891114,0.002046870607756821,0.00026534665550441736,0.00027651207666494834,0.0013494621044051842,0.001047036363572907,0.000695628832096478,0.0004838519637916575,0.00091799630781885,0.000891895700527586,0.0010324958399021784,0.00010632845711029026,0.0,0.0,0.0006710989020821962,0.0021887230936088395
2020-02-08,0.001966219679392885,0.001121372771354071,0.0019152205523790724,0.0006703154169194314,0.0014552386773335662,0.0011513421822889236,0.0008352778109432204,0.00047276693603125663,0.002897321012820645,0.0008330956696520188,0.0007945423497184264,0.0024138575399545443,0.03655387632393491,0.004282681112113454,0.00028919754621665984,0.0005507833002503364,0.002501730742813892,0.00026534665550441736,0.0003160138019027981,0.004048386313215553,0.001047036363572907,0.0008183868612899741,0.0005753915245089982,0.001254594954019095,0.0012486539807386205,0.0014749940570031122,0.0002126569142205805,0.0,0.0,0.0009507234446164447,0.0031140369218011946
2020-02-09,0.002399454524004876,0.0012203174276500183,0.0025045191838803252,0.0009775433163408374,0.001940318236444755,0.0014494575687744487,0.0008844117998222333,0.00047276693603125663,0.003932078517399447,0.000944175092272288,0.0008556609920044592,0.0031837948587331495,0.045597086866895876,0.005106273633673734,0.00028919754621665984,0.0007667767513288997,0.003320478985916621,0.000796039966513252,0.00047402070285419717,0.0035086014714534788,0.001047036363572907,0.0010229835766124677,0.0008238560464560655,0.0013463945848009799,0.0014864928342126433,0.0017454096341203494,0.0002126569142205805,0.0,0.0,0.0010066483531232945,0.003576693835897372
2020-02-10,0.002932666640450404,0.0014511882923405623,0.003241142473256892,0.001089262552494076,0.002061588126222552,0.0017167334325200916,0.001179215733096311,0.0006753813371875094,0.003932078517399447,0.001138564081857759,0.0018335592685809839,0.0039745412942355,0.05644385906308782,0.005710241482817939,0.00028919754621665984,0.0008747734768681814,0.004776031418099249,0.0008623766303893564,0.0005135224280920469,0.0035086014714534788,0.001047036363572907,0.0012275802919349613,0.0008630872867634972,0.00146879409251016,0.0014864928342126433,0.001966658742670816,0.000425313828441161,0.0,0.0,0.001062573261630144,0.004306268200433652
2020-02-11,0.003499204514173778,0.001583114500735159,0.0038795493240499157,0.001256841406723934,0.0029104773546671323,0.00217932627361832,0.0016214216330074278,0.001148148273218766,0.004139030018315208,0.00133295307144323,0.0017113219840089184,0.004536387445776644,0.06703660849121906,0.006780911760846302,0.00028919754621665984,0.0010043695475153195,0.005822209728730513,0.0011940599497698781,0.0007505327795191456,0.005937633259382811,0.0017450606059548448,0.0013094189780639585,0.0010461664081981785,0.00159119360021934,0.001783791401055172,0.002089574914087742,0.0005316422855514513,0.0,0.0002459201841450339,0.0011184981701369938,0.004804514107921843
2020-02-12,0.004232371174286379,0.0018469669175243519,0.0050090383677606504,0.001480279879030411,0.0037593665831117127,0.0028269562511558394,0.0015722876441284148,0.001215686406937517,0.005587690524725531,0.001499572205373634,0.0018946779108670168,0.005119042714041534,0.06823051550110436,0.008345737551810834,0.0003470370554599918,0.0013499590692410207,0.006913874052867484,0.0014594066052742954,0.0007900345047569953,0.006477418101144884,0.0031411090907187207,0.0017595317517734444,0.0012030913694279053,0.001744192984855815,0.0019621705411606892,0.0022616575540714387,0.0005848065141065964,0.0006767594052638346,0.0002459201841450339,0.0014540476211780918,0.005712033439418191
2020-02-13,0.005232143892621744,0.002275727094806791,0.006285852069346699,0.0015919991151836497,0.00472952570133409,0.003227870046774304,0.0016214216330074278,0.0018235296104062756,0.0062085450274728116,0.001888350184544576,0.0020169151954390822,0.0061594985502288375,0.08786647547219657,0.00930659549363116,0.0003470370554599918,0.0015011544849960151,0.0077326222959702125,0.001592079933026504,0.0008690379552326948,0.006477418101144884,0.0038391333331006584,0.0018822897809669405,0.0013730934107601092,0.0018971923694922899,0.0021405496812662065,0.002556656365472061,0.0011164487996580478,0.0006767594052638346,0.0004918403682900678,0.0015099725296849416,0.006406018810562457
2020-02-14,0.006431871154624182,0.0026385241678919314,0.007464449332349205,0.0017595779694135074,0.00472952570133409,0.003721302410612414,0.0017688235996444666,0.0018910677441250265,0.008898914539377696,0.0024159774419908546,0.0028725761874435415,0.007428854670377349,0.12127046947217879,0.009992922594931392,0.0003470370554599918,0.001695548590966722,0.008505884525567234,0.0016584165969026083,0.0011455500318976431,0.006477418101144884,0.0038391333331006584,0.00220964452548293,0.0017784828939369033,0.00275398892345655,0.002259469108003218,0.002802488708305913,0.001648091085209499,0.0006767594052638346,0.0004918403682900678,0.002013296706246589,0.007171182168490751
2020-02-15,0.007364992358403856,0.0032321921056676158,0.00903591234968588,0.0019830164417199846,0.005942224599112062,0.004214734774450524,0.00216189551067657,0.002769063482468789,0.008071108535714655,0.0028047554211617968,0.00415606767545023,0.008136364638984714,0.14283700248053233,0.01166756072210396,0.0004048765647033238,0.002008739095030639,0.009552062836198498,0.0017247532607787127,0.0012245534823733426,0.008906449889074216,0.0045371575754825965,0.0024551605838699225,0.002040024495986448,0.0037943847389845797,0.002735146814951264,0.002925404879722839,0.0019670764565403696,0.0006767594052638346,0.000819733947150113,0.0023488461572876867,0.0076160445858909215
2020-02-16,0.008498068105850604,0.0035620076266541074,0.010165401393396615,0.0022902443411413906,0.006548574048001048,0.0047801260246816924,0.0024075654550716353,0.0031067541510625437,0.01076147804761954,0.002915834843782066,0.004828372740596591,0.009156011358448273,0.16864571571549958,0.012738231000132324,0.00046271607394665577,0.00235432861675634,0.010916643241369713,0.00199009991628313,0.0015800690095139906,0.008906449889074216,0.0045371575754825965,0.0029052733575794082,0.002262334857728561,0.0042839827698213,0.0029729856684252865,0.0032204036911234616,0.002392390284981531,0.0006767594052638346,0.0009836807365801357,0.0023488461572876867,0.008114290493379112
2020-02-17,0.009331212037796742,0.003759896939246002,0.011049349340648494,0.002513682813447868,0.007033653607112237,0.005386636638566036,0.002604101410587687,0.003849673621968804,0.012210138554029863,0.00338792238991821,0.005195084594312788,0.010591840412386751,0.19971270024932333,0.01367163585790064,0.00046271607394665577,0.0027863155189134666,0.012508653714069461,0.0022554465717875474,0.00169857418522754,0.009446234730836289,0.0045371575754825965,0.0032326281020953977,0.002497722299573151,0.004926580185294495,0.0031513648085308038,0.0038349845482080914,0.002445554513536676,0.0006767594052638346,0.0009836807365801357,0.002628470699821935,0.00902180982487546
